email,token,date_expiration,date_created,browser_id
a, a,2025-09-20,2024-09-28,
anas@gmail.com,Azerty123,2025-09-20,2024-09-28,
aziz@gmail.com,Azerty123,2025-09-20,2024-09-20,
houdanaghmouch65@gmail.com,CeTxcdDdtY73Ql2G,2024-11-27,2024-10-28,
user2@gmail.com,MoCqD8WEJHHRBy7o,2024-11-27,2024-10-28,
user3@example.com,iYYo4oiQ-Te98Ak5,2024-11-27,2024-10-28,
univ@gmail.com,WjP784v7GNSkKtH6,2024-11-27,2024-10-28,
@nsr1,f3aW3XgzqQ9uCdwx,2024-11-29,2024-10-30,
nsr22,aiDPih2tjGDMH8wy,2024-11-29,2024-10-30,
univ1,bg8wNDcCA8oxNcHp,2024-12-01,2024-11-01,aaaaaaaaaaaaaaaaaaaaa
